,ticker,value
589,SRPT,Biotechnology
590,ZIOP,Biotechnology
591,RDW,
592,TXMD,Pharmaceuticals
593,SEDG,Semiconductors & Semiconductor
594,GES,Specialty Retail
595,AM,"Oil, Gas & Consumable Fuels"
596,EDIT,Biotechnology
597,GERN,Biotechnology
598,BG,Food Products
599,GDRX,Health Care Technology
600,CFG,Banks
601,ESGC,Entertainment
602,APRN,Food & Staples Retailing
603,AVDL,Pharmaceuticals
604,VFC,"Textiles, Apparel & Luxury Goo"
605,ICE,Capital Markets
606,NKTR,Pharmaceuticals
607,CROX,"Textiles, Apparel & Luxury Goo"
608,INDI,Semiconductors & Semiconductor
609,NRG,Electric Utilities
610,KMPH,Pharmaceuticals
611,KNDI,Auto Components
612,HUN,Chemicals
613,CMG,"Hotels, Restaurants & Leisure"
614,CANO,Health Care Providers & Servic
615,AVYA,Software
616,LIDR,"Electronic Equipment, Instrume"
617,FITB,Banks
618,CVM,Biotechnology
619,DUK,Electric Utilities
620,GSL,Marine
621,ADSK,Software
622,UXIN,Internet & Direct Marketing Re
623,RDFN,Real Estate Management & Devel
624,SYY,Food & Staples Retailing
625,KMB,Household Products
626,GIS,Food Products
627,CARR,Building Products
628,NLS,Leisure Products
629,ML,Consumer Finance
630,DOYU,Entertainment
631,SKX,"Textiles, Apparel & Luxury Goo"
632,YETI,Leisure Products
633,FRO,"Oil, Gas & Consumable Fuels"
634,ACHR,
635,PBI,Commercial Services & Supplies
636,CLMT,"Oil, Gas & Consumable Fuels"
637,WM,Commercial Services & Supplies
638,EMR,Electrical Equipment
639,BGS,Food Products
640,NMTR,Pharmaceuticals
641,TMO,Life Sciences Tools & Services
642,IRBT,Household Durables
643,CHGG,Diversified Consumer Services
644,CSIQ,Semiconductors & Semiconductor
645,XLRN,Biotechnology
646,HIMS,Health Care Providers & Servic
647,FTAI,Trading Companies & Distributo
648,TAP,Beverages
649,ADT,Commercial Services & Supplies
650,LYB,Chemicals
651,IPOD,
652,STWD,Mortgage Real Estate Investmen
653,CIEN,Communications Equipment
654,OKE,"Oil, Gas & Consumable Fuels"
655,MPLX,"Oil, Gas & Consumable Fuels"
656,DGLY,"Electronic Equipment, Instrume"
657,CTXR,Pharmaceuticals
658,RNW,Independent Power and Renewabl
659,EXAS,Biotechnology
660,NBEV,Beverages
661,IMGN,Biotechnology
662,VIEW,Building Products
663,AMT,Equity Real Estate Investment
664,MBI,Insurance
665,SLCA,Energy Equipment & Services
666,GNRC,Electrical Equipment
667,MPW,Equity Real Estate Investment
668,FVRR,Internet & Direct Marketing Re
669,HBAN,Banks
670,LTHM,Chemicals
671,HLF,Personal Products
672,RH,Specialty Retail
673,INTU,Software
674,TX,Metals & Mining
675,VIRT,Capital Markets
676,IIVI,"Electronic Equipment, Instrume"
677,VBIV,Biotechnology
678,BMRN,Biotechnology
679,DG,Multiline Retail
680,AXTA,Chemicals
681,CNX,"Oil, Gas & Consumable Fuels"
682,IBIO,Biotechnology
683,CC,Chemicals
684,PHM,Household Durables
685,IMAX,Entertainment
686,ADM,Food Products
687,AEP,Electric Utilities
688,TPGY,
689,ATIP,Health Care Providers & Servic
690,HEAR,"Technology Hardware, Storage &"
691,KODK,"Technology Hardware, Storage &"
692,GDS,IT Services
693,BTCM,Software
694,INMD,Health Care Equipment & Suppli
695,VTNR,"Oil, Gas & Consumable Fuels"
696,VXRT,Biotechnology
697,BOX,Software
698,POWW,Leisure Products
699,HTA,Equity Real Estate Investment
700,EW,Health Care Equipment & Suppli
701,CTVA,Chemicals
702,RSI,"Hotels, Restaurants & Leisure"
703,SWBI,Leisure Products
704,ALB,Chemicals
705,VTR,Equity Real Estate Investment
706,ALIT,Professional Services
707,LLNW,IT Services
708,COOP,Thrifts & Mortgage Finance
709,SLQT,Insurance
710,ROST,Specialty Retail
711,IOVA,Biotechnology
712,DRI,"Hotels, Restaurants & Leisure"
713,IVZ,Capital Markets
714,GOED,Internet & Direct Marketing Re
715,THC,Health Care Providers & Servic
716,ALDX,Biotechnology
717,CTSH,IT Services
718,VEEV,Health Care Technology
719,FOUR,IT Services
720,BLDE,Airlines
721,LEVI,"Textiles, Apparel & Luxury Goo"
722,OUST,"Electronic Equipment, Instrume"
723,XPO,Road & Rail
724,WIMI,Media
725,TXRH,"Hotels, Restaurants & Leisure"
726,BKNG,"Hotels, Restaurants & Leisure"
727,XXII,Tobacco
728,OCUL,Pharmaceuticals
729,MNST,Beverages
730,AXL,Auto Components
731,UP,Airlines
732,LILM,Aerospace & Defense
733,LPX,Paper & Forest Products
734,ACAD,Biotechnology
735,RBOT,Health Care Equipment & Suppli
736,SFM,Food & Staples Retailing
737,CHS,Specialty Retail
738,DPW,Electrical Equipment
739,LIN,Chemicals
740,MUDS,
741,CAG,Food Products
742,AVPT,Software
743,ADP,IT Services
