,ticker,value
590,LNG,Energy
591,DS,Consumer Discretionary
592,CYH,Health Care
593,AVIR,Health Care
594,CWH,Consumer Discretionary
595,BK,Financials
596,ASXC,Health Care
597,ATNF,Health Care
598,NLOK,Information Technology
599,LULU,Consumer Discretionary
600,NMTR,Health Care
601,TMO,Health Care
602,IRBT,Consumer Discretionary
603,CHGG,Consumer Discretionary
604,CSIQ,Information Technology
605,XLRN,Health Care
606,HIMS,Health Care
607,FTAI,Industrials
608,TAP,Consumer Staples
609,ADT,Industrials
610,ARVL,Consumer Discretionary
611,ABR,Financials
612,OSTK,Consumer Discretionary
613,DVAX,Health Care
614,CL,Consumer Staples
615,BGCP,Financials
616,VRTX,Health Care
617,MITT,Financials
618,MIR,
619,K,Consumer Staples
620,KKR,Financials
621,MAT,Consumer Discretionary
622,ULTA,Consumer Discretionary
623,SKIN,Consumer Staples
624,SIX,Consumer Discretionary
625,AXSM,Health Care
626,ALTO,Energy
627,WW,Consumer Discretionary
628,MDB,Information Technology
629,ATCO,Industrials
630,NOV,Energy
631,ABCL,Health Care
632,D,Utilities
633,HES,Energy
634,ATHX,Health Care
635,CRK,Energy
636,HBI,Consumer Discretionary
637,ABUS,Health Care
638,IAA,Industrials
639,LICY,Industrials
640,DOYU,Communication Services
641,SKX,Consumer Discretionary
642,YETI,Consumer Discretionary
643,FRO,Energy
644,ACHR,
645,PBI,Industrials
646,CLMT,Energy
647,WM,Industrials
648,EMR,Industrials
649,BGS,Consumer Staples
650,LTHM,Materials
651,HLF,Consumer Staples
652,RH,Consumer Discretionary
653,INTU,Information Technology
654,TX,Materials
655,VIRT,Financials
656,IIVI,Information Technology
657,VBIV,Health Care
658,BMRN,Health Care
659,DG,Consumer Discretionary
660,LYB,Materials
661,IPOD,
662,STWD,Financials
663,CIEN,Information Technology
664,OKE,Energy
665,MPLX,Energy
666,DGLY,Information Technology
667,CTXR,Health Care
668,RNW,Utilities
669,EXAS,Health Care
670,CFG,Financials
671,ESGC,Communication Services
672,APRN,Consumer Staples
673,AVDL,Health Care
674,VFC,Consumer Discretionary
675,ICE,Financials
676,NKTR,Health Care
677,CROX,Consumer Discretionary
678,INDI,Information Technology
679,NRG,Utilities
680,AXL,Consumer Discretionary
681,UP,Industrials
682,LILM,Industrials
683,LPX,Materials
684,ACAD,Health Care
685,RBOT,Health Care
686,SFM,Consumer Staples
687,CHS,Consumer Discretionary
688,DPW,Industrials
689,LIN,Materials
690,MUDS,
691,CAG,Consumer Staples
692,AVPT,Information Technology
693,ADP,Information Technology
694,DHT,Energy
695,IRM,Real Estate
696,EXPR,Consumer Discretionary
697,UPWK,Industrials
698,ARLP,Energy
699,DPZ,Consumer Discretionary
700,BLDE,Industrials
701,LEVI,Consumer Discretionary
702,OUST,Information Technology
703,XPO,Industrials
