date,SPY
2021-09-03,451.6329
2021-09-07,450.018
2021-09-08,449.4698
2021-09-09,447.546
2021-09-10,444.0173
2021-09-13,445.1536
2021-09-14,442.7513
2021-09-15,446.4495
2021-09-16,445.7417
2021-09-17,441.4
2021-09-20,434.04
2021-09-21,433.63
2021-09-22,437.86
2021-09-23,443.18
2021-09-24,443.91
2021-09-27,442.64
2021-09-28,433.72
2021-09-29,434.45
2021-09-30,429.14
2021-10-01,434.24
2021-10-04,428.64
2021-10-05,433.1
2021-10-06,434.9
2021-10-07,438.66
2021-10-08,437.86
2021-10-11,434.69
2021-10-12,433.62
2021-10-13,435.18
2021-10-14,442.5
2021-10-15,445.87
2021-10-18,447.19
2021-10-19,450.64
2021-10-20,452.41
2021-10-21,453.59
2021-10-22,453.12
2021-10-25,455.55
2021-10-26,455.96
2021-10-27,453.94
2021-10-28,458.32
2021-10-29,459.25
2021-11-01,460.04
2021-11-02,461.9
2021-11-03,464.72
2021-11-04,466.91
2021-11-05,468.53
