,t,f,v
318,WDAY US EQUITY,GICS SECTOR NAME,Information Technology
319,LMND US EQUITY,GICS SECTOR NAME,Financials
320,RRC US EQUITY,GICS SECTOR NAME,Energy
321,EA US EQUITY,GICS SECTOR NAME,Communication Services
322,STX US EQUITY,GICS SECTOR NAME,Information Technology
323,CSTM US EQUITY,GICS SECTOR NAME,Materials
324,BKR US EQUITY,GICS SECTOR NAME,Energy
325,AEO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
326,ASTR US EQUITY,GICS SECTOR NAME,Industrials
327,KBH US EQUITY,GICS SECTOR NAME,Consumer Discretionary
328,MAR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
329,TMC US EQUITY,GICS SECTOR NAME,Materials
330,OVV US EQUITY,GICS SECTOR NAME,Energy
331,BTWN US EQUITY,GICS SECTOR NAME,
332,HTZZ US EQUITY,GICS SECTOR NAME,Industrials
333,GRWG US EQUITY,GICS SECTOR NAME,Consumer Discretionary
334,EOG US EQUITY,GICS SECTOR NAME,Energy
335,GSM US EQUITY,GICS SECTOR NAME,Materials
336,AHT US EQUITY,GICS SECTOR NAME,Real Estate
337,BARK US EQUITY,GICS SECTOR NAME,Consumer Discretionary
338,CCXI US EQUITY,GICS SECTOR NAME,Health Care
339,HON US EQUITY,GICS SECTOR NAME,Industrials
340,CDEV US EQUITY,GICS SECTOR NAME,Energy
341,MDLZ US EQUITY,GICS SECTOR NAME,Consumer Staples
342,ASO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
343,KDMN US EQUITY,GICS SECTOR NAME,Health Care
344,PRTY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
345,ASTS US EQUITY,GICS SECTOR NAME,Communication Services
346,MTTR US EQUITY,GICS SECTOR NAME,Information Technology
347,QD US EQUITY,GICS SECTOR NAME,Financials
348,SPOT US EQUITY,GICS SECTOR NAME,Communication Services
349,GEVO US EQUITY,GICS SECTOR NAME,Energy
350,NTES US EQUITY,GICS SECTOR NAME,Communication Services
351,BIIB US EQUITY,GICS SECTOR NAME,Health Care
352,ENDP US EQUITY,GICS SECTOR NAME,Health Care
353,GLW US EQUITY,GICS SECTOR NAME,Information Technology
354,COF US EQUITY,GICS SECTOR NAME,Financials
355,COUP US EQUITY,GICS SECTOR NAME,Information Technology
356,MNKD US EQUITY,GICS SECTOR NAME,Health Care
357,DASH US EQUITY,GICS SECTOR NAME,Consumer Discretionary
358,PSTG US EQUITY,GICS SECTOR NAME,Information Technology
359,FINV US EQUITY,GICS SECTOR NAME,Financials
360,NTNX US EQUITY,GICS SECTOR NAME,Information Technology
